264243004,Entire superior conjunctival fornix (body structure)|Upper conjunctival fornix
0,Xa1Hs
245777007,Lower lip|Entire lower lip (body structure)
32377004,Subcutaneous tissue structure of labiomental crease (body structure)|Subcutaneous tissue of labiomental crease
58549005,Interlobular mammary connective tissue|Interlobular mammary connective tissue structure (body structure)|Interlobar fibrous tissue of breast
77621008,Supraclavicular region of neck|Structure of supraclavicular region of neck (body structure)
36205006,Structure of tectorial membrane (body structure)|Tectorial membrane
368387001,Skin of palmar surface of thumb|Entire skin of palmar surface of thumb (body structure)
372221008,Part of lobe of lung (body structure)
272691005,Bone structure of shoulder girdle (body structure)
78034006,Structure of sympathetic trunk interganglionic rami (body structure)|Sympathetic trunk interganglionic rami
206862000,Entire pulmonary sympathetic branches (body structure)|Pulmonary sympathetic branches
361913006,Entire deep perineal space (body structure)
303068009,Third intermetacarpal joint (body structure)
279760006,Ilioinguinal lymph node group (body structure)|Ilioinguinal lymph nodes
245159005,Tendon of first palmar interosseous (body structure)
68896009,Structure of anulus fibrosus of intervertebral disc of fifth lumbar vertebra (body structure)|Anulus fibrosus of intervertebral disc of fifth lumbar vertebra
48879003,Structure of fasciculus interfascicularis (body structure)|Fasciculus interfascicularis|Comma tract of Schultze
260825001,Entire gastrohepatic ligament (body structure)|Hepatogastric ligament
155237005,Inferior auricular lymph node|Structure of inferior auricular lymph node (body structure)
279313001,Anterior cerebral commissure (body structure)
23028000,Palatine arteries|Palatine artery|Structure of palatine artery (body structure)
280191009,Motor root of facial nerve (body structure)|Facial nerve motor root|Seventh cranial nerve motor root
301767004,Entire obturator nerve muscular branches (body structure)|Obturator nerve muscular branches
72381005,Gut-associated lymph node (body structure)
65784005,"""Fundus|Fundus oculi|Fundus of eye"
16621002,Skin of temporal region (body structure)
368424009,Tuberosity of distal phalanx of hand|Entire tuberosity of distal phalanx of hand (body structure)
264471008,First ray (body structure)
21020004,Structure of pedicle of sixth thoracic vertebra (body structure)|Pedicle of sixth thoracic vertebra
369382000,Structure of mesencephalic vein (body structure)|Mesencephalic vein
288546009,Alveolar ridge of mandible|Lower alveolar ridge structure (body structure)
56341001,Vein of Galen|Structure of great cerebral vein (body structure)|Great cerebral vein of Galen|Great cerebral vein of Galen (body structure)|Great cerebral vein
91773002,Structure of costovertebral angle of twelfth rib (body structure)|Costovertebral angle of twelfth rib|Renal angle
23263000,Structure of junctional zone of base of tongue (body structure)|Junctional zone of base of tongue
263337007,Eighth costotransverse joint (body structure)
12406000,"""Little finger"
68171009,"""Axillary lymph node"
57283001,Structure of pituitary capsule (body structure)|Pituitary capsule
